"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
     None ," 5,280 "," 22,520 "," 8,770 "," 11,645 "," 11,180 "," 12,325 "," 17,045 "," 5,380 "," 9,425 "," 16,680 "," 8,105 "," 10,860 "," 3,810 "," 16,985 "," 8,215 "," 3,250 "," 2,765 "," 5,135 "," 11,780 "," 9,980 "," 18,870 "," 5,105 "," 224,420 "," 892,790 "
     Single responses ," 1,835 "," 5,930 "," 1,690 "," 1,970 "," 2,035 "," 4,155 "," 5,970 "," 1,475 "," 3,825 "," 2,490 "," 3,235 "," 1,900 "," 1,850 "," 7,430 "," 2,120 ", 805 , 720 , 850 ," 5,880 "," 4,485 "," 4,250 ", 965 ," 65,795 "," 224,500 "
       English , 975 ," 2,255 ", 650 , 625 , 640 ," 1,760 "," 2,720 ", 670 ," 1,780 ", 690 ," 1,615 ", 605 , 885 ," 3,495 ", 765 , 325 , 260 , 265 ," 3,080 "," 2,240 "," 1,420 ", 380 ," 28,070 "," 103,680 "
       French , 60 , 350 , 135 , 230 , 215 , 145 , 230 , 60 , 65 , 380 , 80 , 180 , 25 , 120 , 155 , 35 , 65 , 95 , 90 , 45 , 405 , 100 ," 3,270 "," 8,650 "
       Non-official languages , 800 ," 3,325 ", 905 ," 1,110 "," 1,170 "," 2,250 "," 3,020 ", 745 ," 1,980 "," 1,415 "," 1,540 "," 1,115 ", 930 ," 3,810 "," 1,205 ", 450 , 395 , 490 ," 2,710 "," 2,195 "," 2,425 ", 490 ," 34,455 "," 112,175 "
         Selected Aboriginal languages , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , 5 , 10 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , 50 , 90 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , 5 , -   , -   , 10 , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 40 , 70 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Ojibway , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 15 
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Selected non-Aboriginal languages , 795 ," 3,285 ", 895 ," 1,090 "," 1,115 "," 2,235 "," 2,985 ", 745 ," 1,960 "," 1,390 "," 1,530 "," 1,080 ", 925 ," 3,770 "," 1,185 ", 450 , 395 , 470 ," 2,690 "," 2,185 "," 2,395 ", 480 ," 34,015 "," 110,840 "
"           African languages, n.i.e. ", -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 15 , 125 
           Afrikaans , 5 , 10 , 5 , 5 , -   , 5 , -   , 5 , -   , 5 , -   , 5 , -   , 5 , -   , -   , 5 , -   , 5 , -   , 15 , 5 , 65 , 330 
           Akan (Twi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 110 
           Albanian , -   , 5 , -   , 5 , -   , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 25 , 155 
           Amharic , -   , 10 , -   , 5 , 5 , -   , 5 , -   , 5 , -   , -   , 5 , -   , 10 , -   , -   , -   , -   , 5 , -   , 5 , -   , 60 , 185 
           Arabic , 5 , 190 , 10 , 15 , 10 , 15 , 15 , 10 , 15 , 15 , 15 , 15 , -   , 30 , 10 , 10 , 5 , 5 , 15 , 5 , 100 , 10 , 505 ," 1,810 "
           Armenian , -   , 5 , 5 , -   , -   , 5 , -   , 5 , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , 5 , 40 , 145 
"           Bantu languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , 20 , 65 
           Bengali , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 5 , 5 , 10 , 5 , 10 , 5 , -   , -   , -   , 25 , 5 , 5 , 5 , 95 , 230 
           Berber languages (Kabyle) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Bisayan languages , -   , -   , -   , -   , 5 , 5 , 20 , -   , 10 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 15 , 5 , -   , -   , 75 , 300 
           Bosnian , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , 5 , -   , 35 , 165 
           Bulgarian , -   , 15 , -   , 5 , -   , -   , 5 , -   , -   , 5 , -   , 5 , 5 , 5 , -   , -   , -   , -   , 5 , -   , 15 , -   , 65 , 180 
           Burmese , -   , -   , -   , -   , -   , 5 , 5 , -   , 5 , -   , -   , 5 , 5 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 100 
           Cantonese , 165 , 310 , 160 , 115 , 190 , 710 , 735 , 175 , 525 , 95 , 360 , 105 , 260 , 975 , 270 , 75 , 70 , 115 , 395 , 785 , 80 , 40 ," 6,710 "," 13,225 "
"           Chinese, n.o.s. ", 125 , 170 , 130 , 60 , 75 , 295 , 365 , 130 , 285 , 60 , 225 , 60 , 195 , 510 , 145 , 75 , 55 , 40 , 200 , 380 , 80 , 35 ," 3,700 "," 8,865 "
           Creoles , -   , 10 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 20 , 175 
           Croatian , -   , 20 , 5 , 10 , 15 , 25 , 10 , 5 , 10 , 20 , -   , 15 , -   , 25 , 5 , -   , -   , -   , 5 , 15 , 20 , 5 , 235 ," 1,190 "
           Czech , -   , 20 , 5 , 15 , 5 , 10 , 5 , 5 , -   , 15 , 10 , 10 , 5 , -   , 5 , 5 , -   , 5 , -   , 5 , 35 , 5 , 155 , 565 
           Danish , -   , 10 , 5 , 10 , 5 , -   , 5 , -   , -   , 10 , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , -   , 80 , 375 
           Dutch , 5 , 25 , 10 , 20 , 5 , 5 , 5 , 5 , 5 , 40 , 5 , 10 , 5 , 5 , 10 , 5 , 5 , 5 , 5 , -   , 30 , 10 , 220 ," 1,125 "
           Estonian , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 75 
           Finnish , -   , 5 , -   , 5 , -   , 5 , 5 , -   , 5 , 10 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 45 , 270 
           Flemish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 25 
           Fukien , -   , 5 , 5 , -   , -   , 5 , 5 , 5 , 10 , -   , 5 , -   , 10 , 10 , 5 , -   , -   , -   , -   , 5 , 5 , -   , 80 , 285 
           German , 15 , 140 , 75 , 70 , 75 , 35 , 70 , 20 , 30 , 165 , 25 , 65 , 20 , 35 , 60 , 20 , 15 , 25 , 70 , 30 , 155 , 55 ," 1,270 "," 4,420 "
           Greek , 65 , 25 , 45 , 25 , 25 , 15 , 25 , 15 , 20 , 125 , 15 , 25 , 5 , 30 , 35 , 15 , 10 , 5 , 5 , 5 , 20 , 20 , 585 ," 1,370 "
           Gujarati , -   , 30 , 5 , 5 , -   , 5 , 5 , 5 , 5 , 5 , 5 , -   , 5 , 20 , 10 , 5 , 5 , -   , 5 , -   , 20 , 10 , 155 ," 1,390 "
           Hakka , -   , 5 , -   , -   , -   , 5 , 5 , 5 , 5 , -   , 5 , -   , -   , 20 , -   , 5 , -   , -   , 10 , 5 , -   , -   , 65 , 130 
           Hebrew , 5 , 25 , 20 , 20 , 5 , -   , 15 , 10 , 5 , 20 , 10 , 15 , 15 , 5 , 20 , 15 , 10 , 5 , 10 , -   , 15 , 10 , 260 , 480 
           Hindi , 5 , 75 , 10 , 20 , 20 , 40 , 130 , 15 , 55 , 20 , 20 , 15 , 15 , 180 , 30 , 5 , 5 , -   , 250 , 90 , 50 , 5 ," 1,035 "," 5,665 "
           Hungarian , 5 , 25 , 10 , 15 , 10 , 5 , 10 , 5 , 10 , 25 , 10 , 5 , -   , 10 , 10 , -   , 5 , 5 , 5 , 10 , 20 , -   , 200 , 850 
           Ilocano , -   , 5 , -   , -   , 5 , 10 , 35 , -   , 10 , -   , 5 , 5 , -   , 30 , 10 , -   , -   , -   , 30 , 5 , -   , -   , 145 , 315 
"           Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , 20 , 75 
           Italian , 25 , 80 , 20 , 35 , 85 , 205 , 65 , 10 , 25 , 55 , 10 , 30 , 10 , 120 , 15 , 10 , 5 , 15 , 15 , 25 , 65 , 10 , 945 ," 3,290 "
           Japanese , 20 , 165 , 35 , 70 , 50 , 40 , 65 , 25 , 30 , 70 , 55 , 55 , 15 , 75 , 40 , 15 , 30 , 15 , 20 , 25 , 185 , 25 ," 1,130 "," 2,760 "
           Khmer (Cambodian) , -   , -   , -   , 5 , -   , 5 , 10 , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 30 , 130 
           Korean , 30 , 170 , 15 , 25 , 5 , 10 , 15 , 30 , 25 , 20 , 15 , 20 , 15 , 30 , 15 , 5 , 5 , 5 , 10 , 5 , 130 , 10 , 615 ," 2,715 "
           Kurdish , -   , 5 , -   , -   , 5 , 5 , 10 , -   , -   , -   , -   , 10 , -   , 5 , 5 , -   , -   , -   , 5 , -   , 5 , -   , 50 , 155 
           Lao , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 145 
           Latvian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 25 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 25 
           Lithuanian , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 35 
           Macedonian , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 
           Malay , 5 , 35 , 5 , 5 , 5 , -   , 10 , -   , 15 , 5 , 10 , 10 , 5 , 40 , 5 , -   , -   , -   , 5 , 5 , 20 , 5 , 190 , 580 
           Malayalam , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , 10 , 5 , -   , -   , -   , 15 , 5 , 5 , -   , 45 , 215 
           Maltese , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 15 
           Mandarin , 145 , 200 , 105 , 70 , 45 , 110 , 135 , 150 , 155 , 70 , 240 , 35 , 130 , 255 , 95 , 75 , 50 , 50 , 90 , 135 , 85 , 55 ," 2,470 "," 7,635 "
           Marathi , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 55 
           Nepali , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 65 
"           Niger-Congo languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 110 
           Norwegian , -   , 10 , 10 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 45 , 150 
           Oromo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 25 
           Panjabi (Punjabi) , 25 , 105 , 10 , 25 , 10 , 25 , 155 , 15 , 115 , 25 , 55 , 15 , 40 , 175 , 45 , 15 , 5 , 5 , 735 , 190 , 35 , 10 ," 1,840 "," 13,370 "
           Pashto , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 105 
           Persian (Farsi) , 15 , 370 , 10 , 40 , 20 , 25 , 20 , 15 , 10 , 35 , 25 , 35 , 10 , 20 , 10 , 5 , 5 , 5 , 5 , 5 , 130 , 20 , 840 ," 3,470 "
           Polish , 5 , 60 , 15 , 30 , 20 , 10 , 30 , 5 , 30 , 30 , 15 , 30 , 5 , 20 , 10 , 10 , 10 , 10 , 10 , 10 , 50 , 10 , 405 ," 1,810 "
           Portuguese , 10 , 80 , 10 , 15 , 35 , 40 , 80 , -   , 35 , 25 , 10 , 20 , 5 , 125 , 15 , -   , 10 , 5 , 10 , 25 , 90 , 5 , 645 ," 1,655 "
           Romanian , -   , 20 , 5 , 20 , 5 , -   , 5 , 5 , 10 , 10 , 15 , 10 , -   , 5 , 5 , -   , -   , 5 , -   , -   , 25 , 5 , 145 , 915 
           Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 25 
           Russian , 5 , 100 , 5 , 30 , 15 , 10 , 15 , 5 , 20 , 20 , 50 , 20 , -   , 15 , 10 , 5 , 5 , 10 , 15 , 10 , 75 , 10 , 445 ," 1,550 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
"           Semitic languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 85 
           Serbian , -   , 50 , 5 , 15 , 10 , 15 , 10 , 5 , 5 , 30 , 5 , 5 , 5 , 20 , -   , -   , -   , -   , 5 , 5 , 45 , 5 , 250 , 835 
           Serbo-Croatian , -   , 15 , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 50 , 160 
           Shanghainese , -   , 5 , -   , 5 , 5 , 10 , 5 , 5 , 5 , -   , 5 , -   , 5 , 10 , -   , 5 , -   , 5 , 5 , 5 , 5 , -   , 75 , 210 
"           Sign languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 15 , 130 
           Sindhi , -   , 15 , -   , -   , 5 , 5 , 5 , -   , 5 , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , 10 , 5 , 55 , 380 
           Sinhala (Sinhalese) , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 35 , 255 
"           Sino-Tibetan languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 10 , 30 
"           Slavic languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , 15 , 45 
           Slovak , -   , 10 , -   , -   , 5 , -   , -   , -   , 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 60 , 295 
           Slovenian , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 70 
           Somali , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , 5 , 5 , -   , -   , 25 , 165 
           Spanish , 40 , 375 , 70 , 140 , 165 , 155 , 170 , 30 , 125 , 205 , 75 , 145 , 25 , 145 , 80 , 25 , 30 , 45 , 80 , 65 , 410 , 50 ," 2,660 "," 7,085 "
           Swahili , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 , -   , -   , -   , 45 , 205 
           Swedish , -   , 15 , 5 , 5 , 5 , -   , -   , 5 , -   , 20 , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , 20 , -   , 105 , 305 
"           Tagalog (Pilipino, Filipino) ", 10 , 90 , 10 , 50 , 70 , 135 , 365 , 20 , 170 , 15 , 115 , 135 , 30 , 410 , 130 , 5 , 10 , 10 , 330 , 150 , 105 , -   ," 2,360 "," 8,110 "
           Taiwanese , 20 , 10 , 25 , 5 , 5 , 5 , 5 , 15 , 20 , 10 , 50 , 5 , 45 , 10 , 10 , 20 , 15 , -   , 20 , 5 , 10 , 10 , 320 ," 1,240 "
           Tamil , -   , -   , -   , -   , 5 , -   , 20 , -   , 5 , -   , 5 , 15 , -   , 15 , 15 , 5 , -   , 5 , 60 , 10 , 10 , -   , 170 , 435 
           Telugu , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 85 
           Thai , -   , 15 , 5 , -   , 5 , 5 , 5 , -   , 5 , 5 , 10 , -   , -   , 5 , -   , -   , 5 , -   , 5 , -   , 25 , -   , 100 , 230 
           Tibetan languages , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 20 
           Tigrigna , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 75 
           Turkish , -   , 40 , 5 , 10 , -   , -   , 5 , -   , -   , 15 , 10 , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 50 , -   , 160 , 495 
           Ukrainian , -   , 15 , 5 , 15 , 5 , 15 , 5 , -   , 5 , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , 15 , -   , 105 , 430 
           Urdu , -   , 15 , -   , 5 , -   , 5 , 10 , -   , 10 , -   , 5 , -   , 5 , 5 , 5 , 5 , 5 , -   , 25 , 5 , 10 , 5 , 105 ," 1,115 "
           Vietnamese , 5 , 30 , 5 , 5 , 50 , 160 , 220 , 5 , 65 , 10 , 5 , 45 , 10 , 250 , 40 , -   , 5 , 30 , 100 , 115 , 10 , -   ," 1,175 "," 2,475 "
           Yiddish , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 20 , 30 
         Other languages , 5 , 30 , 15 , 20 , 45 , 15 , 35 , -   , 20 , 20 , 15 , 30 , 10 , 40 , 15 , -   , 5 , 10 , 20 , 10 , 30 , 10 , 390 ," 1,245 "
     Multiple responses , 20 , 165 , 30 , 55 , 50 , 55 , 75 , 30 , 55 , 70 , 60 , 50 , 40 , 105 , 50 , 10 , 15 , 25 , 110 , 60 , 140 , 20 ," 1,285 "," 4,020 "
       English and French , -   , 15 , -   , 10 , 5 , -   , 10 , -   , 10 , 5 , 10 , -   , -   , 5 , -   , 5 , 5 , 5 , 10 , -   , 15 , -   , 105 , 400 
       English and non-official language , 15 , 40 , 10 , 20 , 10 , 20 , 40 , 15 , 25 , 15 , 35 , 15 , 30 , 65 , 20 , 5 , 5 , 5 , 75 , 30 , 30 , 10 , 530 ," 1,920 "
       French and non-official language , 5 , 110 , 15 , 30 , 30 , 35 , 25 , 10 , 20 , 50 , 20 , 35 , 15 , 35 , 25 , -   , 5 , 20 , 25 , 25 , 90 , 15 , 640 ," 1,680 "
"       English, French and non-official language ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 20 
   Detailed other language spoken regularly at home - Females excluding institutional residents ," 8,530 "," 24,650 "," 11,155 "," 17,025 "," 13,945 "," 17,170 "," 24,095 "," 7,835 "," 14,885 "," 21,940 "," 11,960 "," 13,340 "," 6,640 "," 25,720 "," 11,355 "," 4,450 "," 3,900 "," 4,690 "," 18,345 "," 15,590 "," 21,095 "," 6,705 "," 304,215 "," 1,170,805 "
     None ," 6,295 "," 18,365 "," 9,115 "," 14,280 "," 11,710 "," 12,745 "," 17,405 "," 5,990 "," 10,455 "," 18,580 "," 8,255 "," 10,935 "," 4,500 "," 17,595 "," 8,800 "," 3,430 "," 3,045 "," 3,940 "," 12,100 "," 10,775 "," 16,750 "," 5,460 "," 229,790 "," 920,300 "
     Single responses ," 2,200 "," 6,090 "," 2,000 "," 2,670 "," 2,175 "," 4,380 "," 6,610 "," 1,815 "," 4,345 "," 3,260 "," 3,640 "," 2,335 "," 2,095 "," 8,010 "," 2,510 ", 980 , 840 , 730 ," 6,155 "," 4,750 "," 4,210 "," 1,215 "," 72,930 "," 245,895 "
       English ," 1,095 "," 2,330 ", 700 , 810 , 700 ," 1,775 "," 2,930 ", 795 ," 1,930 ", 875 ," 1,795 ", 735 , 985 ," 3,760 ", 930 , 340 , 290 , 255 ," 3,085 "," 2,315 "," 1,410 ", 420 ," 30,250 "," 108,140 "
       French , 80 , 320 , 180 , 260 , 250 , 170 , 255 , 90 , 95 , 460 , 95 , 205 , 30 , 130 , 170 , 60 , 65 , 60 , 100 , 50 , 310 , 120 ," 3,545 "," 10,280 "
       Non-official languages ," 1,025 "," 3,440 "," 1,115 "," 1,595 "," 1,230 "," 2,435 "," 3,425 ", 925 ," 2,320 "," 1,925 "," 1,755 "," 1,395 "," 1,080 "," 4,120 "," 1,400 ", 585 , 485 , 410 ," 2,975 "," 2,390 "," 2,485 ", 670 ," 39,140 "," 127,470 "
         Selected Aboriginal languages , -   , 5 , -   , -   , 15 , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 55 , 110 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , 5 , -   , 5 , 10 , -   , -   , -   , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 40 , 75 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Ojibway , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 20 
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Selected non-Aboriginal languages ," 1,015 "," 3,410 "," 1,095 "," 1,580 "," 1,170 "," 2,415 "," 3,375 ", 925 ," 2,290 "," 1,900 "," 1,745 "," 1,370 "," 1,070 "," 4,060 "," 1,390 ", 580 , 475 , 385 ," 2,955 "," 2,365 "," 2,445 ", 665 ," 38,645 "," 125,875 "
"           African languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 95 
           Afrikaans , -   , 15 , 5 , 10 , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , 5 , 5 , 60 , 355 
           Akan (Twi) , -   , -   , -   , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 100 
           Albanian , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 20 , 165 
           Amharic , -   , 5 , -   , 5 , 5 , -   , 5 , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , 10 , -   , 50 , 195 
           Arabic , 5 , 70 , 5 , 15 , -   , 5 , 10 , 5 , 10 , 5 , 5 , 5 , 5 , 10 , -   , 10 , -   , 5 , 15 , -   , 35 , -   , 230 ," 1,320 "
           Armenian , 5 , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , 5 , 35 , 150 
"           Bantu languages, n.i.e. ", -   , -   , -   , 5 , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 85 
           Bengali , -   , 15 , -   , -   , 5 , 5 , -   , -   , -   , -   , 5 , 10 , -   , 5 , -   , -   , 5 , -   , 30 , 5 , -   , 5 , 95 , 250 
