"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
     0 to 4 years , 295 , 910 , 445 , 525 , 590 , 815 ," 1,170 ", 255 , 635 , 850 , 390 , 590 , 170 ," 1,120 ", 590 , 155 , 180 , 175 , 960 , 545 , 470 , 230 ," 12,050 "," 55,905 "
     5 to 9 years , 335 , 425 , 680 , 295 , 415 , 805 ," 1,080 ", 345 , 665 , 585 , 445 , 325 , 230 ," 1,035 ", 525 , 215 , 180 , 150 , 920 , 590 , 220 , 360 ," 10,775 "," 55,660 "
     10 to 14 years , 495 , 315 , 745 , 280 , 395 , 845 ," 1,165 ", 410 , 785 , 515 , 535 , 305 , 335 ," 1,225 ", 480 , 260 , 160 , 165 ," 1,085 ", 750 , 165 , 370 ," 11,735 "," 60,515 "
     15 to 19 years , 670 , 635 , 815 , 305 , 455 , 885 ," 1,230 ", 595 , 890 , 655 , 755 , 315 , 440 ," 1,530 ", 500 , 290 , 185 , 180 ," 1,120 ", 980 , 385 , 405 ," 14,150 "," 70,115 "
       15 years , 125 , 90 , 145 , 45 , 100 , 195 , 265 , 125 , 210 , 105 , 150 , 65 , 80 , 275 , 110 , 60 , 40 , 35 , 220 , 195 , 40 , 75 ," 2,730 "," 13,595 "
       16 years , 145 , 80 , 150 , 50 , 90 , 175 , 250 , 95 , 185 , 115 , 155 , 50 , 70 , 290 , 90 , 65 , 30 , 30 , 235 , 195 , 40 , 75 ," 2,640 "," 13,695 "
       17 years , 155 , 95 , 165 , 50 , 90 , 190 , 220 , 125 , 180 , 105 , 135 , 60 , 75 , 305 , 100 , 60 , 40 , 25 , 250 , 200 , 60 , 100 ," 2,760 "," 13,990 "
       18 years , 125 , 140 , 190 , 75 , 75 , 170 , 250 , 125 , 180 , 165 , 160 , 60 , 120 , 290 , 110 , 60 , 35 , 50 , 225 , 190 , 90 , 90 ," 2,960 "," 14,300 "
       19 years , 120 , 230 , 155 , 90 , 105 , 170 , 240 , 120 , 135 , 160 , 165 , 80 , 95 , 370 , 95 , 45 , 35 , 45 , 195 , 190 , 155 , 65 ," 3,065 "," 14,535 "
     20 to 24 years , 515 ," 2,395 ", 760 , 990 , 970 ," 1,135 "," 1,675 ", 565 , 910 ," 1,850 ", 920 , 985 , 510 ," 2,000 ", 665 , 305 , 245 , 245 ," 1,260 "," 1,170 "," 2,085 ", 495 ," 22,570 "," 78,460 "
     25 to 29 years , 355 ," 4,460 ", 520 ," 2,335 "," 1,640 "," 1,230 "," 2,005 ", 380 , 875 ," 3,070 ", 890 ," 2,065 ", 390 ," 2,010 ", 975 , 305 , 380 , 415 ," 1,315 "," 1,025 "," 3,645 ", 425 ," 30,650 "," 86,105 "
     30 to 34 years , 320 ," 3,580 ", 415 ," 2,140 "," 1,545 "," 1,145 "," 1,895 ", 325 , 905 ," 2,480 ", 765 ," 1,970 ", 310 ," 1,870 ", 985 , 225 , 340 , 420 ," 1,315 ", 920 ," 2,850 ", 290 ," 26,980 "," 82,110 "
     35 to 39 years , 490 ," 2,450 ", 605 ," 1,550 "," 1,320 "," 1,245 "," 2,020 ", 445 ," 1,055 "," 1,955 ", 850 ," 1,480 ", 325 ," 1,870 ", 925 , 205 , 340 , 345 ," 1,430 ", 975 ," 1,950 ", 380 ," 24,175 "," 84,590 "
     40 to 44 years , 860 ," 1,880 "," 1,010 "," 1,425 "," 1,270 "," 1,385 "," 2,020 ", 690 ," 1,160 "," 1,830 "," 1,095 "," 1,120 ", 510 ," 1,935 ", 960 , 365 , 340 , 335 ," 1,455 "," 1,085 "," 1,470 ", 545 ," 24,695 "," 94,230 "
     45 to 49 years , 770 ," 1,655 "," 1,015 "," 1,240 "," 1,055 "," 1,445 "," 2,020 ", 710 ," 1,355 "," 1,590 "," 1,155 "," 1,010 ", 610 ," 2,215 ", 965 , 380 , 295 , 425 ," 1,410 "," 1,335 "," 1,315 ", 540 ," 24,460 "," 98,330 "
     50 to 54 years , 630 ," 1,545 ", 920 ," 1,180 "," 1,070 "," 1,355 "," 1,830 ", 675 ," 1,255 "," 1,445 "," 1,110 ", 860 , 530 ," 1,980 ", 845 , 345 , 270 , 405 ," 1,305 "," 1,370 "," 1,320 ", 505 ," 22,670 "," 93,730 "
     55 to 59 years , 565 ," 1,385 ", 840 ," 1,185 ", 925 ," 1,140 "," 1,580 ", 550 ," 1,165 "," 1,355 ", 815 , 710 , 460 ," 1,720 ", 775 , 360 , 225 , 370 ," 1,150 "," 1,175 "," 1,275 ", 515 ," 20,185 "," 80,970 "
     60 to 64 years , 495 ," 1,245 ", 780 ," 1,170 ", 730 , 960 ," 1,255 ", 550 , 995 ," 1,335 ", 755 , 635 , 485 ," 1,465 ", 660 , 355 , 225 , 295 ," 1,005 "," 1,035 "," 1,105 ", 510 ," 17,995 "," 70,145 "
    65 to 69 years, 360 ,750,515,805,450,655,815,405,610,835,485,315,265, 950 , 385 , 200 , 130 , 225 , 730 , 630 , 915 , 360 ," 11,735 "," 48,740 "
    70 to 74 years, 330 ,510,395,560,370,705,805,300,550,520,390,275,250," 1,000 ", 365 , 155 , 125 , 285 , 660 , 695 , 610 , 240 ," 10,080 "," 38,675 "
     75 to 79 years , 330 , 335 , 290 , 460 , 325 , 655 , 665 , 240 , 490 , 395 , 275 , 185 , 280 , 840 , 325 , 150 , 110 , 280 , 575 , 560 , 500 , 185 ," 8,440 "," 31,160 "
     80 to 84 years , 335 , 275 , 210 , 410 , 240 , 485 , 520 , 185 , 370 , 360 , 270 , 155 , 280 , 580 , 230 , 145 , 115 , 230 , 405 , 485 , 455 , 180 ," 6,895 "," 25,190 "
     85 years and over , 580 , 290 , 280 , 655 , 230 , 430 , 510 , 220 , 415 , 445 , 380 , 195 , 330 , 510 , 215 , 235 , 195 , 355 , 355 , 690 , 480 , 170 ," 8,155 "," 28,325 "
   Median age of the female population  , 45 , 35 , 43 , 41 , 39 , 42 , 40 , 44 , 44 , 38 , 43 , 36 , 46 , 41 , 40 , 45 , 40 , 48 , 39 , 45 , 37 , 44 , 40 , 41 
   % of the female population aged 15 and over  , 87 , 93 , 83 , 94 , 90 , 86 , 86 , 87 , 86 , 91 , 89 , 91 , 89 , 87 , 86 , 86 , 87 , 91 , 84 , 88 , 96 , 86 , 89 , 86 
