NODE_NUMBER,BLOCK_NUMBER,LAT,LONG
8,41,49.2477246312635,-123.101003611471
3,42,49.2474431144451,-123.101252613016
4,53,49.2839761934931,-123.095396485299
6,53,49.2835851421368,-123.096193584721
5,53,49.2835935987558,-123.096569654718
1,53,49.2841011405133,-123.09768493026
2,53,49.284004646696,-123.096951037938
3,53,49.2840787801418,-123.096181757164
2,53,49.2836061508016,-123.097305011298
7,53,49.2835659764698,-123.095430509384
3,53,49.2835932444192,-123.09699271942
4,53,49.2835934077184,-123.096797976007
1,53,49.2836053416243,-123.097517958724
5,CN,49.2610545680586,-123.078145179026
6,CN,49.2614004960885,-123.077933146675
2,CN,49.2615294484908,-123.078561699905
4,CN,49.2607468891706,-123.078088645896
1,CN,49.2615224033798,-123.079196869591
3,CN,49.2612072785209,-123.078544915655
6,08,49.2826899990319,-123.123516134587
8,08,49.2824472820908,-123.123885922067
3,08,49.283050963666,-123.123358773344
7,08,49.2825898292397,-123.124061452862
4,08,49.282908487422,-123.123183243112
2,08,49.2831366242816,-123.122835673863
5,08,49.2828179688809,-123.123713766157
10,08,49.2822482439753,-123.124189294116
1,08,49.2828350806912,-123.122435708345
1,08,49.2832791911605,-123.123011052878
9,08,49.2823955752333,-123.124357274695
2,08,49.2826013278102,-123.12278725085
3,08,49.2824339053534,-123.123044906188
2,25,49.2641648149937,-123.181795357252
1,25,49.2639159579044,-123.181941154119
1,71,49.2509938306812,-123.061625761947
3,71,49.2505624043128,-123.06068623386
2,71,49.2506536153764,-123.061062794729
4,29,49.244185367049,-123.171609619616
6,29,49.2441912184028,-123.172819544649
1,29,49.2442740853173,-123.170973799291
3,29,49.2442744125254,-123.172225117336
2,29,49.2441855719902,-123.17037721085
2,84,49.2079371282335,-123.062131284208
3,83,49.2081850137041,-123.062244106024
2,83,49.2084980477534,-123.062097553892
1,38,49.2523627884775,-123.190920416854
1,33,49.2553191731418,-123.085659755611
2,60,49.2292281200083,-123.054763876497
3,60,49.2285950198768,-123.054830958508
4,60,49.2285860792927,-123.054525401985
1,60,49.2288883402729,-123.054824649104
2,82,49.2551541980799,-123.035387557989
2,82,49.2555386492436,-123.036386367776
3,82,49.2551525203468,-123.0347508224
6,82,49.2555539597293,-123.034022634261
1,82,49.2551577262936,-123.03605000676
4,82,49.2555354987649,-123.035202913142
1,82,49.255627661814,-123.035765702603
3,82,49.2556237638413,-123.034624063488
2,52,49.2394083952316,-123.178596490067
4,52,49.2387890568619,-123.178606524654
1,52,49.2390764402941,-123.178767276855
2,76,49.214971808437,-123.07394060627
2,33,49.2541509452758,-123.03307392596
2,33,49.2543898973175,-123.033655168588
1,33,49.2545576474201,-123.033069264269
1,33,49.2546221834172,-123.033923160504
3,33,49.2541530517192,-123.033937034503
14,43,49.2687312625283,-123.205413586243
16,43,49.2687953667883,-123.205694244769
10,43,49.2685655021889,-123.20466659977
1,43,49.2683522045064,-123.203031887686
8,43,49.2684817550323,-123.204245694929
11,43,49.2687760761107,-123.204978283138
15,43,49.2689349753591,-123.205692557058
4,43,49.2682966315809,-123.203492395854
5,43,49.2685059798461,-123.20379698829
12,43,49.2686427578864,-123.204998734759
9,43,49.2686836189866,-123.20456965642
2,43,49.2682118791376,-123.203006390538
6,43,49.2683938125545,-123.203861627154
7,43,49.2686007153156,-123.204175174066
13,43,49.2688901260184,-123.20536849877
3,43,49.2684133403546,-123.203402716055
4,52,49.2367707930382,-123.038248252784
2,52,49.2373882948837,-123.037546806371
