,YEAR,BNE Residential/Other,Theft from Vehicle,Other Theft,Mischief,Theft of Vehicle,BNE Commercial
314334,2010,0,0,0,1,0,0
314335,2010,0,1,0,0,0,0
314336,2010,0,0,1,0,0,0
314337,2010,0,0,1,0,0,0
314338,2010,0,1,0,0,0,0
314339,2010,0,1,0,0,0,0
314340,2010,0,0,1,0,0,0
314341,2010,0,0,1,0,0,0
314342,2010,0,0,1,0,0,0
314343,2010,0,0,1,0,0,0
314344,2010,1,0,0,0,0,0
314345,2010,0,0,1,0,0,0
314346,2010,0,0,0,0,1,0
314347,2010,1,0,0,0,0,0
314348,2010,0,1,0,0,0,0
314349,2010,1,0,0,0,0,0
314350,2010,0,0,0,0,1,0
314351,2010,1,0,0,0,0,0
314352,2010,1,0,0,0,0,0
314353,2010,0,0,1,0,0,0
314354,2010,0,0,0,1,0,0
314355,2010,0,0,1,0,0,0
314356,2010,1,0,0,0,0,0
314357,2010,0,0,0,1,0,0
314358,2010,0,0,0,1,0,0
314359,2010,0,1,0,0,0,0
314360,2010,0,0,0,0,1,0
314361,2010,0,0,1,0,0,0
314362,2010,0,0,1,0,0,0
314363,2010,0,0,1,0,0,0
314364,2010,0,0,1,0,0,0
314365,2010,0,0,1,0,0,0
314366,2010,0,0,1,0,0,0
314367,2010,0,0,0,1,0,0
314368,2010,0,0,1,0,0,0
314369,2010,1,0,0,0,0,0
314370,2010,1,0,0,0,0,0
314371,2010,0,0,1,0,0,0
314372,2010,0,0,0,1,0,0
314373,2010,0,1,0,0,0,0
314374,2010,0,0,0,1,0,0
314375,2010,0,0,0,0,1,0
314376,2010,0,1,0,0,0,0
314377,2010,0,1,0,0,0,0
314378,2010,0,1,0,0,0,0
314379,2010,0,1,0,0,0,0
314380,2010,0,1,0,0,0,0
314381,2010,0,0,0,1,0,0
314382,2010,0,1,0,0,0,0
314383,2010,0,0,0,1,0,0
314384,2010,0,0,1,0,0,0
314385,2010,1,0,0,0,0,0
314386,2010,0,0,0,1,0,0
314387,2010,0,0,1,0,0,0
314388,2010,0,0,1,0,0,0
314389,2010,0,0,1,0,0,0
314390,2010,0,1,0,0,0,0
314391,2010,0,0,0,1,0,0
314392,2010,0,1,0,0,0,0
314393,2010,0,0,1,0,0,0
314394,2010,0,0,0,1,0,0
314395,2010,0,0,0,1,0,0
314396,2010,0,0,0,1,0,0
314397,2010,0,0,1,0,0,0
314398,2010,0,0,1,0,0,0
314399,2010,1,0,0,0,0,0
314400,2010,1,0,0,0,0,0
314401,2010,0,1,0,0,0,0
314402,2010,0,1,0,0,0,0
314403,2010,0,0,0,1,0,0
314404,2010,0,1,0,0,0,0
314405,2010,0,1,0,0,0,0
314406,2010,0,0,1,0,0,0
314407,2010,0,1,0,0,0,0
314408,2010,0,0,1,0,0,0
314409,2010,0,1,0,0,0,0
314410,2010,1,0,0,0,0,0
314411,2010,0,0,0,1,0,0
314412,2010,0,1,0,0,0,0
314413,2010,0,0,1,0,0,0
314414,2010,0,0,0,1,0,0
314415,2010,1,0,0,0,0,0
314416,2010,1,0,0,0,0,0
314417,2010,0,1,0,0,0,0
314418,2010,0,0,0,1,0,0
314419,2010,0,1,0,0,0,0
314420,2010,0,0,0,1,0,0
314421,2010,0,0,0,0,1,0
314422,2010,0,1,0,0,0,0
314423,2010,0,0,0,1,0,0
314424,2010,0,0,0,0,1,0
314425,2010,0,0,1,0,0,0
314426,2010,0,1,0,0,0,0
314427,2010,0,1,0,0,0,0
314428,2010,0,1,0,0,0,0
314429,2010,1,0,0,0,0,0
314430,2010,0,0,1,0,0,0
314431,2010,1,0,0,0,0,0
314432,2010,0,1,0,0,0,0
314433,2010,0,0,0,1,0,0
314434,2010,0,0,1,0,0,0
314435,2010,0,1,0,0,0,0
314436,2010,1,0,0,0,0,0
314437,2010,0,0,1,0,0,0
314438,2010,0,1,0,0,0,0
314439,2010,0,1,0,0,0,0
314440,2010,0,0,1,0,0,0
314441,2010,0,0,0,1,0,0
314442,2010,0,1,0,0,0,0
314443,2010,0,1,0,0,0,0
314444,2010,0,0,0,1,0,0
314445,2010,0,0,0,0,1,0
314446,2010,0,0,1,0,0,0
314447,2010,0,0,1,0,0,0
314448,2010,0,0,1,0,0,0
314449,2010,0,0,1,0,0,0
314450,2010,0,0,1,0,0,0
314451,2010,0,0,0,1,0,0
314452,2010,1,0,0,0,0,0
314453,2010,1,0,0,0,0,0
314454,2010,0,1,0,0,0,0
314455,2010,0,0,0,1,0,0
314456,2010,0,1,0,0,0,0
314457,2010,0,1,0,0,0,0
314458,2010,0,0,1,0,0,0
314459,2010,0,1,0,0,0,0
314460,2010,0,1,0,0,0,0
314461,2010,0,0,1,0,0,0
314462,2010,0,0,1,0,0,0
314463,2010,0,1,0,0,0,0
314464,2010,0,0,1,0,0,0
314465,2010,0,1,0,0,0,0
314466,2010,0,0,1,0,0,0
314467,2010,0,1,0,0,0,0
314468,2010,1,0,0,0,0,0
314469,2010,0,0,1,0,0,0
314470,2010,0,1,0,0,0,0
314471,2010,0,1,0,0,0,0
314472,2010,0,1,0,0,0,0
314473,2010,1,0,0,0,0,0
314474,2010,0,0,1,0,0,0
314475,2010,0,0,0,1,0,0
314476,2010,0,0,0,1,0,0
314477,2010,0,0,1,0,0,0
314478,2010,0,1,0,0,0,0
314479,2010,0,1,0,0,0,0
314480,2010,0,1,0,0,0,0
314481,2010,0,0,1,0,0,0
314482,2010,1,0,0,0,0,0
314483,2010,0,0,1,0,0,0
314484,2010,0,1,0,0,0,0
